date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,year,month,day,dayofweek,is_weekend,season_Monsoon,season_Post-Monsoon,season_Summer,season_Winter
2023-11-10,2.209334690017991,1.6347873128116541,1.3265472156072935,0.6633593781500551,0.2914842366154072,0.8519618088537304,0.8412029080013969,-0.5990960020176918,-0.8382508449732622,152.25,2023,11,10,4,0,0,1,0,0
2023-11-11,0.16294338197217678,0.07891550959575173,0.15225651930232198,-0.27213710849435013,-0.5390148407731856,0.2221735788764065,-1.0644748219313693,-0.6730095684570945,-0.3088437803692456,133.5,2023,11,11,5,1,0,1,0,0
2023-11-12,-0.8757566956081599,-0.6332096775974438,-0.046934508559485444,-0.20908907569682197,-0.49050268891177706,0.052615209267127705,-1.464335553391161,-0.7951932191018213,-0.16446003547724158,71.5,2023,11,12,6,1,0,1,0,0
2023-11-13,-0.031969371321221955,0.0857628671649169,0.48828497335552073,0.33414640689377234,-0.2225997607219082,-0.12663221003411104,-1.0371672597828951,-0.786142578313323,-0.5976112701532544,76.66666666666667,2023,11,13,0,0,0,1,0,0
2023-11-14,0.2991126671287312,0.35864274658795053,0.5478720329723006,0.053327060811808984,-0.26893972667907484,0.2245958412993965,-0.5651365426449945,-0.7891594585761558,-0.5272704713597139,101.25,2023,11,14,1,0,0,1,0,0
2023-11-15,0.6550403035775472,0.6533327278979553,0.2997344918538525,-0.32121233402323707,-0.021310533595466353,0.6824034392444508,-0.2491490377840855,-0.7891594585761558,-0.6457391851172559,108.875,2023,11,15,2,0,0,1,0,0
2023-11-16,1.4069566957291573,1.317019200435203,0.5408492723746087,-0.300082723031633,0.06774908847846314,0.9100961070054834,0.5408197243681869,-0.7454146947650807,-0.9382088222061877,130.20833333333334,2023,11,16,3,0,0,1,0,0
2023-11-17,2.2628779167132143,1.9566131185624251,0.8715574532477379,0.056053462230080606,0.12132967411643662,0.5903574671708423,1.16889365378308,-0.7574822158164117,-0.9863367371701892,145.54166666666666,2023,11,17,4,0,0,1,0,0
2023-11-18,2.8711135638481484,2.4052418422607027,1.170131184113246,0.37095282604043767,0.2567292621475327,0.5491790059800167,1.8028192036583608,-0.7620075362106609,-1.1418269239769634,156.33333333333334,2023,11,18,5,1,0,1,0,0
2023-11-19,3.1199547469065196,2.5515724095721253,1.110544124496466,-0.02130817801337292,0.1951839948606708,0.8350059718928022,2.0524883433015475,-0.7846341381819066,-1.2454870485148124,157.375,2023,11,19,6,1,0,1,0,0
